Commodities,Countries,DomesticForeign,District,Time,Value ($US) (Default Member)
"7507 Nickle Tubes, Pipes And Tube Or Pipe Fittings","Canada","Total Exports","All Districts","2017","16657534"
"7507 Nickle Tubes, Pipes And Tube Or Pipe Fittings","Canada","Total Exports","All Districts","2018","19790276"
"7507 Nickle Tubes, Pipes And Tube Or Pipe Fittings","Canada","Total Exports","All Districts","2019","21558746"
"7507 Nickle Tubes, Pipes And Tube Or Pipe Fittings","Canada","Total Exports","All Districts","2020","17552509"
"7507 Nickle Tubes, Pipes And Tube Or Pipe Fittings","Canada","Total Exports","All Districts","2021","21544762"
"7507 Nickle Tubes, Pipes And Tube Or Pipe Fittings","Canada","Total Exports","All Districts","2022","44890688"
"7507 Nickle Tubes, Pipes And Tube Or Pipe Fittings","Canada","Total Exports","All Districts","2023","36268839"
"7507 Nickle Tubes, Pipes And Tube Or Pipe Fittings","Canada","Total Exports","All Districts","2024","32226168"
"7601 Aluminum, Unwrought","Canada","Total Exports","All Districts","2015","264108285"
"7601 Aluminum, Unwrought","Canada","Total Exports","All Districts","2016","207785301"
"7601 Aluminum, Unwrought","Canada","Total Exports","All Districts","2017","260719263"
"7601 Aluminum, Unwrought","Canada","Total Exports","All Districts","2018","381021881"
"7601 Aluminum, Unwrought","Canada","Total Exports","All Districts","2019","258457387"
"7601 Aluminum, Unwrought","Canada","Total Exports","All Districts","2020","202397853"
"7601 Aluminum, Unwrought","Canada","Total Exports","All Districts","2021","305322621"
"7601 Aluminum, Unwrought","Canada","Total Exports","All Districts","2022","382639900"
"7601 Aluminum, Unwrought","Canada","Total Exports","All Districts","2023","319018564"
"7601 Aluminum, Unwrought","Canada","Total Exports","All Districts","2024","331865979"
"7602 Aluminum Waste And Scrap","Canada","Total Exports","All Districts","2015","220357133"
"7602 Aluminum Waste And Scrap","Canada","Total Exports","All Districts","2016","195990240"
"7602 Aluminum Waste And Scrap","Canada","Total Exports","All Districts","2017","198398264"
"7602 Aluminum Waste And Scrap","Canada","Total Exports","All Districts","2018","203223724"
"7602 Aluminum Waste And Scrap","Canada","Total Exports","All Districts","2019","155975584"
"7602 Aluminum Waste And Scrap","Canada","Total Exports","All Districts","2020","116053864"
"7602 Aluminum Waste And Scrap","Canada","Total Exports","All Districts","2021","172620355"
"7602 Aluminum Waste And Scrap","Canada","Total Exports","All Districts","2022","209844490"
"7602 Aluminum Waste And Scrap","Canada","Total Exports","All Districts","2023","206033348"
"7602 Aluminum Waste And Scrap","Canada","Total Exports","All Districts","2024","229950819"
"7603 Aluminum Powders And Flakes","Canada","Total Exports","All Districts","2015","4530856"
"7603 Aluminum Powders And Flakes","Canada","Total Exports","All Districts","2016","4626822"
"7603 Aluminum Powders And Flakes","Canada","Total Exports","All Districts","2017","5368685"
"7603 Aluminum Powders And Flakes","Canada","Total Exports","All Districts","2018","5574372"
"7603 Aluminum Powders And Flakes","Canada","Total Exports","All Districts","2019","4129918"
"7603 Aluminum Powders And Flakes","Canada","Total Exports","All Districts","2020","3180309"
"7603 Aluminum Powders And Flakes","Canada","Total Exports","All Districts","2021","3192817"
"7603 Aluminum Powders And Flakes","Canada","Total Exports","All Districts","2022","4540027"
"7603 Aluminum Powders And Flakes","Canada","Total Exports","All Districts","2023","3878982"
"7603 Aluminum Powders And Flakes","Canada","Total Exports","All Districts","2024","7487387"
"7604 Aluminum Bars, Rods And Profiles","Canada","Total Exports","All Districts","2015","239829064"
"7604 Aluminum Bars, Rods And Profiles","Canada","Total Exports","All Districts","2016","208904277"
"7604 Aluminum Bars, Rods And Profiles","Canada","Total Exports","All Districts","2017","236024215"
"7604 Aluminum Bars, Rods And Profiles","Canada","Total Exports","All Districts","2018","260381261"
"7604 Aluminum Bars, Rods And Profiles","Canada","Total Exports","All Districts","2019","218415356"
"7604 Aluminum Bars, Rods And Profiles","Canada","Total Exports","All Districts","2020","193625873"
"7604 Aluminum Bars, Rods And Profiles","Canada","Total Exports","All Districts","2021","261483290"
"7604 Aluminum Bars, Rods And Profiles","Canada","Total Exports","All Districts","2022","325322922"
"7604 Aluminum Bars, Rods And Profiles","Canada","Total Exports","All Districts","2023","271054553"
"7604 Aluminum Bars, Rods And Profiles","Canada","Total Exports","All Districts","2024","270584698"
"7605 Aluminum Wire","Canada","Total Exports","All Districts","2015","30939282"
"7605 Aluminum Wire","Canada","Total Exports","All Districts","2016","33776646"
"7605 Aluminum Wire","Canada","Total Exports","All Districts","2017","22026082"
"7605 Aluminum Wire","Canada","Total Exports","All Districts","2018","21377020"
"7605 Aluminum Wire","Canada","Total Exports","All Districts","2019","16677565"
"7605 Aluminum Wire","Canada","Total Exports","All Districts","2020","16350326"
"7605 Aluminum Wire","Canada","Total Exports","All Districts","2021","21947637"
"7605 Aluminum Wire","Canada","Total Exports","All Districts","2022","26950061"
"7605 Aluminum Wire","Canada","Total Exports","All Districts","2023","18414274"
"7605 Aluminum Wire","Canada","Total Exports","All Districts","2024","17396876"
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick","Canada","Total Exports","All Districts","2015","1303326881"
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick","Canada","Total Exports","All Districts","2016","1243438872"
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick","Canada","Total Exports","All Districts","2017","1293799096"
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick","Canada","Total Exports","All Districts","2018","1328050873"
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick","Canada","Total Exports","All Districts","2019","1117499873"
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick","Canada","Total Exports","All Districts","2020","927881817"
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick","Canada","Total Exports","All Districts","2021","1145112513"
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick","Canada","Total Exports","All Districts","2022","1363524047"
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick","Canada","Total Exports","All Districts","2023","1272734179"
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick","Canada","Total Exports","All Districts","2024","1141072978"
"7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back)","Canada","Total Exports","All Districts","2015","121216458"
"7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back)","Canada","Total Exports","All Districts","2016","107972951"
"7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back)","Canada","Total Exports","All Districts","2017","112632640"
"7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back)","Canada","Total Exports","All Districts","2018","98138433"
"7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back)","Canada","Total Exports","All Districts","2019","79588869"
"7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back)","Canada","Total Exports","All Districts","2020","72974656"
"7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back)","Canada","Total Exports","All Districts","2021","79713187"
"7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back)","Canada","Total Exports","All Districts","2022","98385928"
"7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back)","Canada","Total Exports","All Districts","2023","84995987"
"7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back)","Canada","Total Exports","All Districts","2024","80921675"
"7608 Aluminum Tubes And Pipes","Canada","Total Exports","All Districts","2015","72312213"
"7608 Aluminum Tubes And Pipes","Canada","Total Exports","All Districts","2016","74001655"
"7608 Aluminum Tubes And Pipes","Canada","Total Exports","All Districts","2017","70751148"
"7608 Aluminum Tubes And Pipes","Canada","Total Exports","All Districts","2018","73018109"
"7608 Aluminum Tubes And Pipes","Canada","Total Exports","All Districts","2019","61808428"
"7608 Aluminum Tubes And Pipes","Canada","Total Exports","All Districts","2020","51036899"
"7608 Aluminum Tubes And Pipes","Canada","Total Exports","All Districts","2021","65944450"
"7608 Aluminum Tubes And Pipes","Canada","Total Exports","All Districts","2022","72085415"
"7608 Aluminum Tubes And Pipes","Canada","Total Exports","All Districts","2023","60183611"
"7608 Aluminum Tubes And Pipes","Canada","Total Exports","All Districts","2024","55733139"
"7609 Aluminum Tube Or Pipe Fittings","Canada","Total Exports","All Districts","2015","39775663"
"7609 Aluminum Tube Or Pipe Fittings","Canada","Total Exports","All Districts","2016","39493801"
"7609 Aluminum Tube Or Pipe Fittings","Canada","Total Exports","All Districts","2017","44562865"
"7609 Aluminum Tube Or Pipe Fittings","Canada","Total Exports","All Districts","2018","46339633"
"7609 Aluminum Tube Or Pipe Fittings","Canada","Total Exports","All Districts","2019","48737239"
"7609 Aluminum Tube Or Pipe Fittings","Canada","Total Exports","All Districts","2020","31150404"
"7609 Aluminum Tube Or Pipe Fittings","Canada","Total Exports","All Districts","2021","38870170"
"7609 Aluminum Tube Or Pipe Fittings","Canada","Total Exports","All Districts","2022","47893363"
"7609 Aluminum Tube Or Pipe Fittings","Canada","Total Exports","All Districts","2023","56017156"
"7609 Aluminum Tube Or Pipe Fittings","Canada","Total Exports","All Districts","2024","54299820"
"7610 Aluminum Structures Nesoi (no Prefab) & Parts Of","Canada","Total Exports","All Districts","2015","214218574"
"7610 Aluminum Structures Nesoi (no Prefab) & Parts Of","Canada","Total Exports","All Districts","2016","213306181"
"7610 Aluminum Structures Nesoi (no Prefab) & Parts Of","Canada","Total Exports","All Districts","2017","232688303"
"7610 Aluminum Structures Nesoi (no Prefab) & Parts Of","Canada","Total Exports","All Districts","2018","223937496"
"7610 Aluminum Structures Nesoi (no Prefab) & Parts Of","Canada","Total Exports","All Districts","2019","196801690"
"7610 Aluminum Structures Nesoi (no Prefab) & Parts Of","Canada","Total Exports","All Districts","2020","178450183"
"7610 Aluminum Structures Nesoi (no Prefab) & Parts Of","Canada","Total Exports","All Districts","2021","207080603"
"7610 Aluminum Structures Nesoi (no Prefab) & Parts Of","Canada","Total Exports","All Districts","2022","247667526"
"7610 Aluminum Structures Nesoi (no Prefab) & Parts Of","Canada","Total Exports","All Districts","2023","255206659"
"7610 Aluminum Structures Nesoi (no Prefab) & Parts Of","Canada","Total Exports","All Districts","2024","270016755"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Canada","Total Exports","All Districts","2015","17882603"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Canada","Total Exports","All Districts","2016","19254664"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Canada","Total Exports","All Districts","2017","29035718"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Canada","Total Exports","All Districts","2018","42325296"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Canada","Total Exports","All Districts","2019","28141032"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Canada","Total Exports","All Districts","2020","19096110"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Canada","Total Exports","All Districts","2021","37221184"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Canada","Total Exports","All Districts","2022","39440094"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Canada","Total Exports","All Districts","2023","35159394"
